id_drug_i,id_drug_j,name_i,name_j,description,severity
DB00091,DB00877,Cyclosporine,Sirolimus,Increases the effect and toxicity of sirolimus,
DB00091,DB00912,Cyclosporine,Repaglinide,Increases repaglinide's effect,
DB00091,DB00973,Cyclosporine,Ezetimibe,Increases the effect and toxicity of ezetimibe,
DB00091,DB00977,Cyclosporine,Ethinylestradiol,The contraceptive increases the effect and toxicity of cyclosporine,
DB00091,DB01015,Cyclosporine,Sulfamethoxazole,The sulfonamide decreases the effect of cyclosporine,
DB00091,DB01042,Cyclosporine,Melphalan,Melphalan increases toxicity of cyclosporine,
DB00091,DB01050,Cyclosporine,Ibuprofen,Monitor for nephrotoxicity,
DB00091,DB01067,Cyclosporine,Glipizide,The sulfonylurea increases the effect of cyclosporine,
DB00091,DB01076,Cyclosporine,Atorvastatin,Possible myopathy and rhabdomyolysis,
DB00091,DB01098,Cyclosporine,Rosuvastatin,Increases the effect and toxicity of rosuvastatin,
DB00091,DB01115,Cyclosporine,Nifedipine,Increased risk of gingivitis,
DB00091,DB01118,Cyclosporine,Amiodarone,Amiodarone increases the effect and toxicity of cyclosporine,
DB00091,DB01136,Cyclosporine,Carvedilol,Carvedilol increases the effect and toxicity of cyclosporine,
DB00091,DB01156,Cyclosporine,Bupropion,Bupropion decreases the effect of cyclosporine,
DB00091,DB01167,Cyclosporine,Itraconazole,The imidazole increases the effect of immunosuppressant,
DB00091,DB01190,Cyclosporine,Clindamycin,Clindamycin decreases the effect of cyclosporine,
DB00091,DB01233,Cyclosporine,Metoclopramide,Metoclopramide increases serum levels of cyclosporine,
DB00091,DB01394,Cyclosporine,Colchicine,Increased toxicity of both drugs,
DB00091,DB01586,Cyclosporine,Ursodeoxycholic acid,Ursodiol increases the levels of cyclosporine,
DB00107,DB00388,Oxytocin,Phenylephrine,Possible marked increase of arterial pressure,
DB00107,DB00668,Oxytocin,Epinephrine,Possible marked increase of arterial pressure,
DB00158,DB00241,Folic acid,Butalbital,Folic acid decreases the effect of anticonvulsant,
DB00158,DB00252,Folic acid,Phenytoin,Folic acid decreases the levels of hydantoin,Moderate
DB00158,DB00474,Folic acid,Methohexital,Folic acid decreases the effect of anticonvulsant,
DB00158,DB00794,Folic acid,Primidone,Folic acid decreases the effect of anticonvulsant,
DB00158,DB01174,Folic acid,Phenobarbital,Folic acid decreases the effect of anticonvulsant,Moderate
DB00158,DB01320,Folic acid,Fosphenytoin,Folic acid decreases the levels of hydantoin,
DB00175,DB01039,Pravastatin,Fenofibrate,Increased risk of myopathy/rhabdomyolysis,
DB00175,DB01241,Pravastatin,Gemfibrozil,Increased risk of myopathy/rhabdomyolysis,
DB00175,DB01394,Pravastatin,Colchicine,Increased risk of rhabdomyolysis with this combination,
DB00176,DB00182,Fluvoxamine,Amphetamine,Risk of serotoninergic syndrome,
DB00176,DB00191,Fluvoxamine,Phentermine,Risk of serotoninergic syndrome,
DB00176,DB00193,Fluvoxamine,Tramadol,Increased risk of serotonin syndrome,
DB00176,DB00216,Fluvoxamine,Eletriptan,Increased risk of CNS adverse effects,
DB00176,DB00268,Fluvoxamine,Ropinirole,Increases the effect and toxicity of ropinirole,
DB00176,DB00334,Fluvoxamine,Olanzapine,Fluvoxamine increases the effect and toxicity of olanzapine,
DB00176,DB00363,Fluvoxamine,Clozapine,The antidepressant increases the effect of clozapine,
DB00176,DB00370,Fluvoxamine,Mirtazapine,Increases the effect adn toxicity of mirtazapine,
DB00176,DB00458,Fluvoxamine,Imipramine,Fluvoxamine increases the effect and toxicity of tricyclics,
DB00176,DB00476,Fluvoxamine,Duloxetine,Fluvoxamine increases the effect and toxicity of duloxetine,
DB00176,DB00497,Fluvoxamine,Oxycodone,Increased risk of serotonin syndrome,
DB00176,DB00540,Fluvoxamine,Nortriptyline,Fluvoxamine increases the effect and toxicity of tricyclics,
DB00176,DB00669,Fluvoxamine,Sumatriptan,Increased risk of CNS adverse effects,
DB00176,DB00682,Fluvoxamine,Warfarin,Fluvoxamine increases the effect of the anticoagulant,
DB00176,DB00697,Fluvoxamine,Tizanidine,Fluvoxamine increases the effect/toxicity of tizanidine,
DB00176,DB01142,Fluvoxamine,Doxepin,Fluvoxamine increases the effect and toxicity of tricyclics,
DB00176,DB01166,Fluvoxamine,Cilostazol,Fluvoxamine increases the effect of cilostazol,
DB00176,DB01242,Fluvoxamine,Clomipramine,Fluvoxamine increases the effect and toxicity of tricyclics,
DB00176,DB01356,Fluvoxamine,Lithium cation,The SSRI increases serum levels of lithium,
DB00176,DB01576,Fluvoxamine,Dextroamphetamine,Risk of serotoninergic syndrome,
DB00177,DB00384,Valsartan,Triamterene,Increased risk of hyperkaliemia,
DB00177,DB00594,Valsartan,Amiloride,Increased risk of hyperkaliemia,
DB00177,DB01356,Valsartan,Lithium cation,The ARB increases serum levels of lithium,
DB00178,DB00384,Ramipril,Triamterene,Increased risk of hyperkaliemia,
DB00178,DB00421,Ramipril,Spironolactone,Increased risk of hyperkaliemia,
DB00178,DB00697,Ramipril,Tizanidine,Tizanidine increases the risk of hypotension with the ACE inhibitor,
DB00182,DB00433,Amphetamine,Prochlorperazine,"Decreased anorexic effect, may increase pyschotic symptoms",
DB00182,DB00472,Amphetamine,Fluoxetine,Risk of serotoninergic syndrome,
DB00182,DB00477,Amphetamine,Chlorpromazine,"Decreased anorexic effect, may increase psychotic symptoms",
DB00182,DB00715,Amphetamine,Paroxetine,Risk of serotoninergic syndrome,
DB00182,DB01069,Amphetamine,Promethazine,"Decreased anorexic effect, may increase pyschotic symptoms",
DB00182,DB01367,Amphetamine,Rasagiline,Possible hypertensive crisis,
DB00186,DB00252,Lorazepam,Phenytoin,"Possible increased levels of the hydantoin, decrease of benzodiazepine",
DB00186,DB00363,Lorazepam,Clozapine,Increased risk of toxicity,
DB00186,DB01320,Lorazepam,Fosphenytoin,"Possible increased levels of the hydantoin, decrease of benzodiazepine",
DB00187,DB00281,Esmolol,Lidocaine,The beta-blocker increases the effect and toxicity of lidocaine,
DB00187,DB00328,Esmolol,Indomethacin,Risk of inhibition of renal prostaglandins,
DB00187,DB00457,Esmolol,Prazosin,Risk of hypotension at the beginning of therapy,
DB00187,DB00575,Esmolol,Clonidine,Increased hypertension when clonidine stopped,
DB00187,DB00661,Esmolol,Verapamil,Increased effect of both drugs,
DB00187,DB00668,Esmolol,Epinephrine,"Hypertension, then bradycardia",
DB00187,DB00912,Esmolol,Repaglinide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00187,DB00938,Esmolol,Salmeterol,Antagonism,
DB00187,DB00983,Esmolol,Formoterol,Antagonism,
DB00187,DB01001,Esmolol,Salbutamol,Antagonism,
DB00187,DB01016,Esmolol,Glyburide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00187,DB01050,Esmolol,Ibuprofen,Risk of inhibition of renal prostaglandins,
DB00187,DB01064,Esmolol,Isoprenaline,Antagonism,
DB00187,DB01067,Esmolol,Glipizide,The beta-blocker decreases the symptoms of hypoglycemia,
DB00187,DB01306,Esmolol,Insulin aspart,The beta-blocker decreases the symptoms of hypoglycemia,
DB00187,DB01307,Esmolol,Insulin detemir,The beta-blocker decreases the symptoms of hypoglycemia,
DB00187,DB01309,Esmolol,Insulin glulisine,The beta-blocker decreases the symptoms of hypoglycemia,
DB00191,DB00285,Phentermine,Venlafaxine,Risk of serotoninergic syndrome,
DB00191,DB00433,Phentermine,Prochlorperazine,"Decreased anorexic effect, may increase psychotic symptoms",
DB00191,DB00472,Phentermine,Fluoxetine,Risk of serotoninergic syndrome,
DB00191,DB00715,Phentermine,Paroxetine,Risk of serotoninergic syndrome,
DB00191,DB01069,Phentermine,Promethazine,"Decreased anorexic effect, may increase psychotic symptoms",
DB00193,DB00215,Tramadol,Citalopram,Increased risk of serotonin syndrome,
DB00193,DB00472,Tramadol,Fluoxetine,Increased risk of serotonin syndrome,
DB00193,DB00564,Tramadol,Carbamazepine,Reduces the efficacy of tramadol,
DB00193,DB00715,Tramadol,Paroxetine,Risk of serotoninergic syndrome,
DB00193,DB01149,Tramadol,Nefazodone,Increased risk of serotonin syndrome,
DB00193,DB01175,Tramadol,Escitalopram,Increased risk of serotonin syndrome,
DB00193,DB01367,Tramadol,Rasagiline,Increased risk of seizures and serotonin syndrome,
DB00196,DB00227,Fluconazole,Lovastatin,Increased risk of myopathy/rhabdomyolysis,
DB00196,DB00243,Fluconazole,Ranolazine,Increased levels of ranolazine - risk of toxicity,
DB00196,DB00252,Fluconazole,Phenytoin,Increases the effect of hydantoin,Moderate
DB00196,DB00320,Fluconazole,Dihydroergotamine,Possible ergotism and severe ischemia with this combination,
DB00196,DB00321,Fluconazole,Amitriptyline,The imidazole increases the effect and toxicity of the tricyclic,Moderate
DB00196,DB00404,Fluconazole,Alprazolam,Increases the effect of the benzodiazepine,
DB00196,DB00458,Fluconazole,Imipramine,The imidazole increases the effect and toxicity of the tricyclic,Moderate
DB00196,DB00475,Fluconazole,Chlordiazepoxide,Increases the effect of the benzodiazepine,
DB00196,DB00482,Fluconazole,Celecoxib,Increases the effect of celecoxib,
DB00196,DB00502,Fluconazole,Haloperidol,The imidazole increases the effect and toxicity of haloperidol,Major
DB00196,DB00531,Fluconazole,Cyclophosphamide,Reduces metabolism and clearance of cyclophosphamide,
DB00196,DB00540,Fluconazole,Nortriptyline,The imidazole increases the effect and toxicity of the tricyclic,Moderate
DB00196,DB00541,Fluconazole,Vincristine,Increases the effect and toxicity of anticancer agent,
DB00196,DB00564,Fluconazole,Carbamazepine,Increases the effect of carbamazepine,Moderate
DB00196,DB00570,Fluconazole,Vinblastine,Increases the effect and toxicity of anticancer agent,
DB00196,DB00615,Fluconazole,Rifabutin,Increases levels/toxicity of rifabutin,
DB00196,DB00641,Fluconazole,Simvastatin,Increased risk of myopathy/rhabdomyolysis,Major
DB00196,DB00682,Fluconazole,Warfarin,Increases the anticoagulant effect,Major
DB00196,DB00683,Fluconazole,Midazolam,Increases the effect of the benzodiazepine,
DB00196,DB00696,Fluconazole,Ergotamine,Possible ergotism and severe ischemia with this combination,
DB00196,DB00700,Fluconazole,Eplerenone,This CYP3A4 inhibitor increases the effect and toxicity of eplerenone,
DB00196,DB00802,Fluconazole,Alfentanil,Increases the effect and toxicity of alfentanil,
DB00196,DB00813,Fluconazole,Fentanyl,The imidazole increases levels/toxicity of fentanyl,
DB00196,DB00829,Fluconazole,Diazepam,Increases the effect of the benzodiazepine,Moderate
DB00196,DB00864,Fluconazole,Tacrolimus,Increases the effect of the immunosuppressant,
DB00196,DB00897,Fluconazole,Triazolam,Increases the effect of the benzodiazepine,
DB00196,DB00980,Fluconazole,Ramelteon,This imidazole increases the levels/toxicity of ramelteon,
DB00196,DB01036,Fluconazole,Tolterodine,Increases the effect and toxicity of tolterodine,
DB00196,DB01045,Fluconazole,Rifampicin,Decreases the effect of imidazole,
DB00196,DB01068,Fluconazole,Clonazepam,Increases the effect of the benzodiazepine,None
DB00196,DB01076,Fluconazole,Atorvastatin,Increased risk of myopathy/rhabdomyolysis,
DB00196,DB01095,Fluconazole,Fluvastatin,Increases the effect and toxicity of fluvastatin,
DB00196,DB01166,Fluconazole,Cilostazol,Decreases the effect of cilostazol,
DB00196,DB01320,Fluconazole,Fosphenytoin,Increases the effect of hydantoin,
DB00196,DB01590,Fluconazole,Everolimus,The imidazole increases everolimus levels/toxicity,
DB00199,DB00203,Erythromycin,Sildenafil,The macrolide increases the effect and toxicity of sildenafil,
DB00199,DB00215,Erythromycin,Citalopram,Possible serotoninergic syndrome with this combination,
DB00199,DB00218,Erythromycin,Moxifloxacin,Increased risk of cardiotoxicity and arrhythmias,
DB00199,DB00277,Erythromycin,Theophylline,The macrolide increases the effect and toxicity of theophylline,
DB00199,DB00320,Erythromycin,Dihydroergotamine,Possible ergotism and severe ischemia with this combination,
DB00199,DB00390,Erythromycin,Digoxin,The macrolide increases the effect of digoxin in 10% of patients,
DB00199,DB00404,Erythromycin,Alprazolam,The macrolide increases the effect of the benzodiazepine,
DB00199,DB00472,Erythromycin,Fluoxetine,Possible serotoninergic syndrome with this combination,Moderate
DB00199,DB00489,Erythromycin,Sotalol,Increased risk of cardiotoxicity and arrhythmias,
DB00199,DB00490,Erythromycin,Buspirone,The macrolide increases the effect and toxicity of buspirone,
DB00199,DB00564,Erythromycin,Carbamazepine,The macrolide increases the effect of carbamazepine,Major
DB00199,DB00615,Erythromycin,Rifabutin,The rifamycin decreases the effect of the macrolide,
DB00199,DB00641,Erythromycin,Simvastatin,The macrolide possibly increases the statin toxicity,Major
DB00199,DB00661,Erythromycin,Verapamil,Increased risk of cardiotoxicity and arrhythmias,
DB00199,DB00673,Erythromycin,Aprepitant,This CYP3A4 inhibitor increases effect and toxicity of aprepitant,
DB00199,DB00682,Erythromycin,Warfarin,The macrolide increases anticoagulant effect,
DB00199,DB00683,Erythromycin,Midazolam,The macrolide increases the efect of the benzodiazepine,
DB00199,DB00802,Erythromycin,Alfentanil,The macrolide increases the effect and toxicity of alfentanil,
DB00199,DB00829,Erythromycin,Diazepam,The macrolide increases the effect of the benzodiazepine,Moderate
DB00199,DB00864,Erythromycin,Tacrolimus,Erythromycin increases the effect and toxicity of tacrolimus,
DB00199,DB00877,Erythromycin,Sirolimus,The macrolide increases sirolimus levels,
DB00199,DB00959,Erythromycin,Methylprednisolone,The macrolide increases the effect of corticosteroid,
DB00199,DB01012,Erythromycin,Cinacalcet,This macrolide increases the serum levels and toxicity of cinacalcet,
DB00199,DB01076,Erythromycin,Atorvastatin,The macrolide possibly increases the statin toxicity,
DB00199,DB01104,Erythromycin,Sertraline,Possible serotoninergic syndrome with this combination,
DB00199,DB01118,Erythromycin,Amiodarone,Increased risk of cardiotoxicity and arrhythmias,
DB00199,DB01137,Erythromycin,Levofloxacin,Increased risk of cardiotoxicity and arrhythmias,
DB00199,DB01223,Erythromycin,Aminophylline,The macrolide increases the effect and toxicity of theophylline,Moderate
DB00199,DB01224,Erythromycin,Quetiapine,This macrolide increases the effect/toxicity of quetiapine,
DB00199,DB01248,Erythromycin,Docetaxel,The agent increases the serum levels and toxicity of docetaxel,
DB00199,DB01394,Erythromycin,Colchicine,Severe colchicine toxicity can occur,
DB00201,DB00363,Caffeine,Clozapine,Caffeine increases the effect and toxicity of clozapine,
DB00201,DB00537,Caffeine,Ciprofloxacin,The quinolone increases the effect and toxicity of caffeine,
DB00201,DB01356,Caffeine,Lithium cation,Caffeine decreases serum levels of lithium,
DB00202,DB00319,Succinylcholine,Piperacillin,The agent increases the effect of the muscle relaxant,
DB00202,DB00468,Succinylcholine,Quinine,The quinine derivative increases the effect of the muscle relaxant,
DB00202,DB00479,Succinylcholine,Amikacin,The agent increases the effect of muscle relaxant,
DB00202,DB00531,Succinylcholine,Cyclophosphamide,The agent increases the effect of succinylcholine,
DB00202,DB00545,Succinylcholine,Pyridostigmine,The corticosteroid decreases the effect of anticholinesterases,
DB00202,DB00684,Succinylcholine,Tobramycin,The agent increases the effect of the muscle relaxant,
DB00202,DB00798,Succinylcholine,Gentamicin,The agent increases the effect of muscle relaxant,
DB00202,DB00908,Succinylcholine,Quinidine,The quinine derivative increases the effect of the muscle relaxant,
DB00202,DB01190,Succinylcholine,Clindamycin,The agent increases the effect of muscle relaxant,
DB00202,DB01233,Succinylcholine,Metoclopramide,The agent increases the effect of succinylcholine,
DB00203,DB00537,Sildenafil,Ciprofloxacin,The quinolone increases sildenafil levels,
DB00203,DB00727,Sildenafil,Nitroglycerin,Possible significant hypotension with this combination,
DB00203,DB00883,Sildenafil,Isosorbide dinitrate,Possible significant hypotension with this combination,
DB00203,DB01020,Sildenafil,Isosorbide mononitrate,Possible significant hypotension with this combination,
DB00203,DB01026,Sildenafil,Ketoconazole,The imidazole increases the effect and toxicity of sildenafil,
DB00203,DB01072,Sildenafil,Atazanavir,Increases the effect and toxicity of sildenafil,
DB00203,DB01167,Sildenafil,Itraconazole,The imidazole increases the effect and toxicity of sildenafil,
DB00203,DB01211,Sildenafil,Clarithromycin,Increases the effect and toxicity of sildenafil,
DB00204,DB00440,Dofetilide,Trimethoprim,Trimethoprim may significantly reduced the clearance of Dofetilide. Trimethoprim is a cation transport inhibitor and may interfere with renal excretion of Dofetilide. Concomitant use is contraindicated.,
DB00204,DB00524,Dofetilide,Metolazone,Increased risk of cardiotoxicity and arrhythmias,
DB00204,DB00999,Dofetilide,Hydrochlorothiazide,Increased risk of cardiotoxicity and arrhythmias,
DB00207,DB00227,Azithromycin,Lovastatin,Azithromycin can possibly increase the statin toxicity,
DB00207,DB00682,Azithromycin,Warfarin,Increases the anticoagulant effect,Moderate
DB00209,DB00321,Trospium,Amitriptyline,"Trospium and Amitriptyline, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00332,Trospium,Ipratropium,"Trospium and Ipratropium, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00334,Trospium,Olanzapine,"Trospium and Olanzapine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00341,Trospium,Cetirizine,"Trospium and Cetirizine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00424,Trospium,Hyoscyamine,"Trospium and Hyoscyamine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00433,Trospium,Prochlorperazine,"Trospium and Prochlorperazine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00434,Trospium,Cyproheptadine,"Trospium and Cyproheptadine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00455,Trospium,Loratadine,"Trospium and Loratadine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00502,Trospium,Haloperidol,"Trospium and Haloperidol, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00557,Trospium,Hydroxyzine,"Trospium and Hydroxyzine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00572,Trospium,Atropine,"Trospium and Atropine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00734,Trospium,Risperidone,"Trospium and Risperidone, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00737,Trospium,Meclizine,"Trospium and Meclizine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00747,Trospium,Scopolamine,"Trospium and Scopolamine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00761,Trospium,Potassium chloride,"The ulcerative effects of solid oral dosage forms of KCl may be enhanced by Trospium, an anticholinergic. Anticholinergics slow gastric emptying, increasing the contact time between the gastrointestinal mucosa and KCl. Prolonged exposure to KCl increases the risk of gastric and intestinal irritation and ulceration. Solid oral dosage forms of KCl should be avoided; alternatives include liquid or effervescent potassium preparations.",
DB00209,DB00804,Trospium,Dicyclomine,"Trospium and Dicyclomine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00924,Trospium,Cyclobenzaprine,"Trospium and Cyclobenzaprine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00950,Trospium,Fexofenadine,"Trospium and Fexofenadine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00972,Trospium,Azelastine,"Trospium and Azelastine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00986,Trospium,Glycopyrronium,"Trospium and Glycopyrrolate, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB00989,Trospium,Rivastigmine,"The therapeutic effects of the anticholinergic, Trospium, and/or the acetylcholinesterase inhibitor (central), Rivastigmine, may be reduced due to antagonism. Monitor therapeutic effects of both agents.",
DB00209,DB01036,Trospium,Tolterodine,"Trospium and Tolterodine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01062,Trospium,Oxybutynin,"Trospium and Oxybutynin, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01069,Trospium,Promethazine,"Trospium and Promethazine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01075,Trospium,Diphenhydramine,"Trospium and Diphenhydramine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01224,Trospium,Quetiapine,"Trospium and Quetiapine, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01409,Trospium,Tiotropium,"Trospium and Tiotropium, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00209,DB01591,Trospium,Solifenacin,"Trospium and Solifenacin, two anticholinergics, may cause additive anticholinergic effects and enhanced adverse/toxic effects. Monitor for enhanced anticholinergic effects.",
DB00211,DB00368,Midodrine,Norepinephrine,Increased arterial pressure,
DB00211,DB00388,Midodrine,Phenylephrine,Increased arterial pressure,
DB00211,DB00620,Midodrine,Triamcinolone,Increased arterial pressure,
DB00211,DB00635,Midodrine,Prednisone,Increased arterial pressure,
DB00211,DB00668,Midodrine,Epinephrine,Increased arterial pressure,
DB00211,DB00687,Midodrine,Fludrocortisone,Increased arterial pressure,
DB00211,DB00741,Midodrine,Hydrocortisone,Increased arterial pressure,
DB00211,DB00841,Midodrine,Dobutamine,Increased arterial pressure,
DB00211,DB00852,Midodrine,Pseudoephedrine,Increased arterial pressure,
DB00211,DB00860,Midodrine,Prednisolone,Increased arterial pressure,
DB00211,DB00959,Midodrine,Methylprednisolone,Increased arterial pressure,
DB00211,DB00988,Midodrine,Dopamine,Increased arterial pressure,
DB00211,DB01001,Midodrine,Salbutamol,Increased arterial pressure,
DB00211,DB01064,Midodrine,Isoprenaline,Increased arterial pressure,
DB00211,DB01234,Midodrine,Dexamethasone,Increased arterial pressure,
DB00211,DB01364,Midodrine,Ephedrine,Increased arterial pressure,
DB00211,DB01367,Midodrine,Rasagiline,Possible hypertensive crisis with this combination,
DB00213,DB01026,Pantoprazole,Ketoconazole,The proton pump inhibitor decreases the absorption of imidazole,
DB00213,DB01072,Pantoprazole,Atazanavir,This gastric pH modifier decreases the levels/effects of atazanavir,
DB00213,DB01167,Pantoprazole,Itraconazole,The proton pump inhibitor decreases the absorption of imidazole,
DB00213,DB01254,Pantoprazole,Dasatinib,Possible decreased levels of dasatinib,
DB00214,DB00328,Torasemide,Indomethacin,The NSAID decreases the diuretic and antihypertensive effects of the loop diuretic,
DB00214,DB00479,Torasemide,Amikacin,Increased ototoxicity,
DB00214,DB00684,Torasemide,Tobramycin,Increased ototoxicity,
DB00214,DB00798,Torasemide,Gentamicin,Increased ototoxicity,
DB00214,DB01050,Torasemide,Ibuprofen,The NSAID decreases the diuretic and antihypertensive effect of the loop diuretic,
DB00215,DB00216,Citalopram,Eletriptan,Increased risk of CNS adverse effects,
DB00215,DB00264,Citalopram,Metoprolol,The SSRI increases the effect of the beta-blocker,
DB00215,DB00363,Citalopram,Clozapine,The antidepressant increases the effect of clozapine,
DB00215,DB00497,Citalopram,Oxycodone,Increased risk of serotonin syndrome,
DB00215,DB00571,Citalopram,Propranolol,This SSRI increases the effect of the beta-blocker,
DB00215,DB00601,Citalopram,Linezolid,Combination associated with possible serotoninergic syndrome,
DB00215,DB00669,Citalopram,Sumatriptan,Increased risk of CNS adverse effects,
DB00215,DB00682,Citalopram,Warfarin,The SSRI increases the effect of anticoagulant,
DB00215,DB00918,Citalopram,Almotriptan,Increased risk of CNS adverse effects,
DB00215,DB00952,Citalopram,Naratriptan,Increased risk of CNS adverse effects,
DB00215,DB00953,Citalopram,Rizatriptan,Increased risk of CNS adverse effects,
